Method,Geometry,ANOSIM_R,ANOSIM_p,PERMANOVA_R2,PERMANOVA_p
Before correction,Aitchison,0.5071379796677664,0.001,0.3226763322052763,0.001
ConQuR,Aitchison,0.01631492625895827,0.281,0.06193306414717748,0.23
DEBIAS-M,Aitchison,0.1985551733600516,0.001,0.12931482088346186,0.001
MetaDICT,Aitchison,0.22079873896756155,0.001,0.13084456447595685,0.001
MMUPHin,Aitchison,0.16590936648436147,0.001,0.1150349277703062,0.001
PLSDA-batch,Aitchison,0.20176838101559058,0.001,0.1429571508045972,0.001
RUV-III-NB,Aitchison,0.5087924465688559,0.001,0.32370016959171727,0.001
Before correction,Bray-Curtis,0.6374420059094942,0.001,0.456917924536971,0.001
ConQuR,Bray-Curtis,-0.05139696356662859,0.974,0.028525333918958094,0.994
DEBIAS-M,Bray-Curtis,-0.05215958186819137,0.981,0.03472954810373283,0.908
MetaDICT,Bray-Curtis,0.03924931555805161,0.109,0.09347671024151603,0.009
MMUPHin,Bray-Curtis,-0.010169307644690078,0.648,0.06943842639980426,0.148
PLSDA-batch,Bray-Curtis,0.37688819824246794,0.001,0.3772095260632051,0.001
RUV-III-NB,Bray-Curtis,0.6386306055636037,0.001,0.45981479333995895,0.001
